image_name,AudioTime,TeacherTime ,StudentTime ,StudentRate,STSilent,TeacherMean,StudentMean,TeacherQuarter,TeacherMedian,TeacherThreeQuarters,TeacherStd,StudentQuarter,StudentMedian,StudentThreeQuarters,StudentStd,Interaction,value
2036236435-1591611632765,5394,1670,647,0.279240397,727,2.929824561,1.767759563,1,2,4,2.398444495,1,1,2,1.31925629,74,2
2036238066-1621643412,3635,1389,322,0.188194039,627,2.475935829,1.586206897,1,2,3,1.684978345,1,1,2,1.491297162,88,2
2036238066-1621648857,2382,841,207,0.197519084,400,2.242666667,1.556390977,1,2,3,1.518968596,1,1,2,1.183302606,58,2
2036249617-1618103603938,2805,876,361,0.291835085,511,1.977426637,1.504166667,1,1,2,1.482762393,1,1,2,0.858128335,68,2
2036253702-1623240451480,5498,1931,821,0.298328488,829,2.456743003,1.954761905,1,2,3,2.144769749,1,1,2,1.736963359,137,2
2036254772-1607600229726,2457,974,38,0.037549407,88,11.87804878,2.923076923,1,2,7,46.936624,1,2,4,2.596842264,0,0
2036255476-1617584393503,5241,2004,410,0.169842585,514,3.711111111,2.019704433,1,2,5,4.191814033,1,1,2,2.634426669,48,2
2036255987-1591611050230,4234,1568,474,0.232125367,668,2.684931507,2.235849057,1,2,3,2.342107434,1,1.5,3,1.94498693,41,2
2036257896-1592131420307,5665,2103,199,0.086446568,741,2.749019608,1.300653595,1,2,4,2.509618086,1,1,1,0.679444116,56,2
2036258944-1617451843946,2508,827,369,0.308528428,419,2.685064935,2.027472527,1,2,3,2.147986936,1,1,3,1.623145159,47,2
2036267044-1599371901674,4680,2099,405,0.161741214,783,2.825033647,1.701680672,1,2,4,2.557493712,1,1,2,1.186811009,75,2
2036267963-1617370641023,1011,485,104,0.176570458,179,3.129032258,1.762711864,1,2,4,2.861998388,1,1,2,1.745328573,17,2
2036270553-1618490073,3418,596,303,0.337041157,292,3.088082902,1.751445087,1,2,3,3.358371529,1,1,2,1.131761692,22,0
2036271848-1617364882607,3645,892,783,0.467462687,514,2.82278481,2.533980583,1,2,3,2.717419381,1,2,3,2.767443616,55,2
